"File","Words"
"C:\Users\Chris\Documents\GitHub\GIBindex\sessions\LOG.md","5"
"C:\Users\Chris\Documents\GitHub\GIBindex\site\index.html","5"
"C:\Users\Chris\Documents\GitHub\GIBindex\scratch\Checkpoint-20250908-030538.txt","7"
"C:\Users\Chris\Documents\GitHub\GIBindex\docs\bpoe\Migration_Log.md","8"
"C:\Users\Chris\Documents\GitHub\GIBindex\docs\glossary\godstuff.md","17"
"C:\Users\Chris\Documents\GitHub\GIBindex\lexicon\README.md","18"
"C:\Users\Chris\Documents\GitHub\GIBindex\sessions\README.md","19"
"C:\Users\Chris\Documents\GitHub\GIBindex\.github\PULL_REQUEST_TEMPLATE.md","28"
"C:\Users\Chris\Documents\GitHub\GIBindex\decisions\ADR-0001-repo-structure.md","31"
"C:\Users\Chris\Documents\GitHub\GIBindex\docs\glossary\core-assumption.md","32"
"C:\Users\Chris\Documents\GitHub\GIBindex\docs\LESSONS.md","45"
"C:\Users\Chris\Documents\GitHub\GIBindex\admin\bpoe\crosslinking-checklist.md","59"
"C:\Users\Chris\Documents\GitHub\GIBindex\docs\CONTRIBUTING.md","70"
"C:\Users\Chris\Documents\GitHub\GIBindex\docs\WORKFLOWS.md","119"
